HOTEL_NAME,ADDRESS,COMMUNITY,Parish,Longitude,Latitude
Hibiscus Villa (A8),"Tryall Club Resort, P.O. Box",Tryall,Hanover,-77.92014033,18.47078471
Hill Top Villas,"c/o Tryall Villas, P.O. Box 1",Tryall,Hanover,-77.91597519,18.48622514
Irie Villa,"P.O. Box 1206, Montego Bay P.",Tryall,Hanover,-77.87801382,18.50281607
La Mer Bleu Villa,Tryall Club Resort,Tryall,Hanover,-77.85921077,"18.517124028,"
Ma Moura,"P.O. Box 1206, Montego Bay P.",Tryall,Hanover,-77.83825125,17.96656548
Mahogany Hill,"P.O. Box 1206, Montego Bay P.",Tryall,Hanover,-77.82299287,18.5221655
Mahogany Mews,"P.O. Box 1206, Montego Bay P.",Tryall,Hanover,-77.81373807,18.52169779
Merry Land,"P.O. Box 1206, Montego Bay P.",Tryall,Hanover,-77.73594488,17.86410867
Midway Villa,"P.O. Box 1206, Montego Bay P.",Tryall,Hanover,-77.68798995,18.01518248
My Way Villa,"P.O. Box 1206, Montego Bay P.",Tryall,Hanover,-77.54029788,18.48367682
No Le Hace,"P.O. Box 1206, Montego Bay P.",Tryall,Hanover,-77.53579442,18.48545884
Phoenix Villa,"P.O. Box 1206, Montego Bay P.",Tryall,Hanover,-77.50442761,18.03897698
Tryall Golf & Tennis,P.O. Box 1206,Tryall,Hanover,-77.04222765,"18.420575152,"
Olympia Crown Hotel,53 Molynes Road,Kingston,Kingston,-77.53245194,18.47983526
Hotel Four Seasons,18 Ruthven Road,Kingston 10,Kingston,-77.90408323,18.3638987
Indies Hotel,5 Holborn Road,Kingston 10,Kingston,-77.87975518,"18.505535267,"
Terra Nova Hotel,17 Waterloo Road,Kingston 10,Kingston,-77.09129557,"18.40273275,0"
Alhambra Inn,1 Tucker Avenue,Kingston 3,Kingston,-78.36661595,18.26627378
Central Courts Apartm,47 Old Hope Road,Kingston 5,Kingston,-78.33708379,18.300362
Chelsea Manor Apartme,11-17 Chelsea Avenue,Kingston 5,Kingston,-78.33667306,18.324419
Christar Villas Limit,99a Hope Road,Kingston 5,Kingston,-78.33630812,18.32306646
Knutsford Court Hotel,16 Chelsea Avenue,Kingston 5,Kingston,-77.86343833,18.51327272
Sunset Inn,1a Altamont Cresent,Kingston 5,Kingston,-77.09921567,18.41285584
Glenview Apartments,3 Mayfair Avenue,Kingston 6,Kingston,-77.9295464,18.48571603
Iris Inn,26 Tankerville Avenue,Kingston 6,Kingston,-77.87783096,18.50472668
